myAUC,avg_diff,power,avg_log2FC,pct.1,pct.2,cluster,gene
0.735,1.1964731502067836,0.47,1.7261458803601224,0.732,0.323,5,Tmsb10
0.734,0.9144526634061986,0.46799999999999997,1.3192763226238267,0.727,0.284,5,Fkbp1a
0.734,1.138291823676498,0.46799999999999997,1.6422079691025389,0.729,0.369,5,Hspa8
0.733,1.1004494925347414,0.46599999999999997,1.5876130256286474,0.722,0.357,5,Rpl38
0.733,0.9095995314224209,0.46599999999999997,1.3122747331780515,0.737,0.295,5,Rps3a1
0.733,1.0605952227186468,0.46599999999999997,1.5301154682067193,0.727,0.383,5,Rplp1
0.733,0.9970420295810936,0.46599999999999997,1.43842759163451,0.757,0.312,5,Cox6b1
0.732,1.1540350138327693,0.46399999999999997,1.6649205914687637,0.724,0.354,5,Zwint
0.732,0.7983485385463854,0.46399999999999997,1.1517734774618196,0.711,0.292,5,Gng2
0.732,0.9026637420204934,0.46399999999999997,1.3022685042032418,0.737,0.309,5,Rpl32
0.731,0.5489483635971006,0.46199999999999997,0.7919650818656478,0.722,0.326,5,Fam162a
0.731,1.0645848004766765,0.46199999999999997,1.5358712122534661,0.739,0.356,5,Eif4a2
0.731,0.5508959402237562,0.46199999999999997,0.7947748410066746,0.711,0.281,5,Map7d2
0.731,0.2455122498263519,0.46199999999999997,0.3541993053019705,0.754,0.33,5,Slc22a4
0.73,0.2740636314709012,0.45999999999999996,0.3953902420110922,0.752,0.363,5,Pld2
0.73,0.2135862640128816,0.45999999999999996,0.3081398438933822,0.641,0.234,5,Pdcd6
0.73,0.4142790554479848,0.45999999999999996,0.5976783388389733,0.646,0.254,5,Necap1
0.73,0.37358032353116544,0.45999999999999996,0.5389624801321067,0.694,0.244,5,Tomm7
0.729,0.22420419010878978,0.45799999999999996,0.32345827321647747,0.694,0.278,5,Ldha
0.728,0.20768051278089583,0.45599999999999996,0.2996196458782756,0.668,0.286,5,Dhx57
0.728,0.7520195964857849,0.45599999999999996,1.0849349425013604,0.701,0.236,5,Nrsn1
0.728,0.8254710758872118,0.45599999999999996,1.1909030275797523,0.722,0.328,5,Zcchc12
0.727,1.1674556173777635,0.45399999999999996,1.6842824296488628,0.742,0.372,5,Slc25a4
0.726,0.7172928601001693,0.45199999999999996,1.0348348521315751,0.704,0.253,5,Ap2a2
0.725,0.5926459257349752,0.44999999999999996,0.8550073380608957,0.747,0.262,5,Ndufa6
0.725,0.482407277294823,0.44999999999999996,0.6959665866419895,0.623,0.192,5,Tubb4a
0.725,0.4434826443678419,0.44999999999999996,0.6398102117498108,0.701,0.299,5,Arpp21
0.724,0.19620067661189644,0.44799999999999995,0.2830577431670427,0.628,0.178,5,Znhit1
0.724,0.5560885504079256,0.44799999999999995,0.8022661939686447,0.691,0.219,5,Atp6v1f
0.724,0.6324778433796105,0.44799999999999995,0.9124726481159117,0.716,0.303,5,Cirbp
0.724,0.38596667495349035,0.44799999999999995,0.5568322079038033,0.676,0.261,5,Bmyc
0.724,1.0982354105367866,0.44799999999999995,1.584418780510076,0.742,0.367,5,Rpl11
0.724,1.0039480835368657,0.44799999999999995,1.448390921428615,0.754,0.406,5,Rps21
0.723,0.45422029346427173,0.44599999999999995,0.6553013648520309,0.757,0.371,5,Cfl2
0.723,0.3217568453415943,0.44599999999999995,0.46419700514639506,0.742,0.416,5,Ctnnbip1
0.723,0.2015841954502865,0.44599999999999995,0.2908245190977201,0.651,0.257,5,Chmp4b
0.722,1.1358944103723205,0.44399999999999995,1.6387492328176376,0.734,0.383,5,Rps27a
0.721,0.6367217701960599,0.44199999999999995,0.9185953402878975,0.689,0.259,5,Ier3ip1
0.721,1.2108218809438516,0.44199999999999995,1.7468467230375415,0.727,0.379,5,Rpl37a
0.721,1.1954997654775128,0.44199999999999995,1.7247415830383264,0.754,0.358,5,Rps14
0.721,0.8821673651512913,0.44199999999999995,1.272698482937853,0.739,0.324,5,Rpl39
0.719,0.5825735839766678,0.43799999999999994,0.8404760205560488,0.61,0.192,5,Sod1
0.719,0.9909439447469903,0.43799999999999994,1.429629914885432,0.737,0.362,5,6330403K07Rik
0.719,0.9866998754901655,0.43799999999999994,1.4235070172154187,0.722,0.381,5,Ppia
0.718,0.5672117108426207,0.43599999999999994,0.8183135223667921,0.722,0.372,5,mt-Nd4
0.717,0.8704320945240763,0.43399999999999994,1.2557680662004795,0.699,0.263,5,Tma7
0.717,1.105651515848662,0.43399999999999994,1.5951179588662292,0.739,0.406,5,Rpl13
0.716,0.7035252120742838,0.43199999999999994,1.0149723345999233,0.656,0.249,5,Denr
0.716,0.5373789210143661,0.43199999999999994,0.7752739044256882,0.686,0.269,5,Eif4g2
0.716,0.22999103982591995,0.43199999999999994,0.3318069326057529,0.661,0.262,5,Hsd17b11
