myAUC,avg_diff,power,avg_log2FC,pct.1,pct.2,cluster,gene
0.779,0.6506415981573335,0.558,0.938677407057654,0.925,0.445,Ventromedial hypothalamus (ventrolateral),Rpl37
0.779,0.6040101272546594,0.558,0.8714024152370089,0.864,0.354,Ventromedial hypothalamus (ventrolateral),Rpl35a
0.775,0.6441421420423462,0.55,0.9293006739520872,0.663,0.136,Ventromedial hypothalamus (ventrolateral),mt-Atp8
0.772,0.5761706485204793,0.544,0.8312385373262736,0.956,0.514,Ventromedial hypothalamus (ventrolateral),Rps29
0.772,0.5688688655401876,0.544,0.820704291230959,0.895,0.41,Ventromedial hypothalamus (ventrolateral),Rpl9
0.771,0.5858778905880846,0.542,0.8452431273179162,0.893,0.436,Ventromedial hypothalamus (ventrolateral),Rps24
0.766,0.5522872619501998,0.532,0.7967820939616974,0.671,0.152,Ventromedial hypothalamus (ventrolateral),Rps10
0.766,0.638045910238995,0.532,0.9205056705612829,0.892,0.498,Ventromedial hypothalamus (ventrolateral),Tsc22d3
0.763,0.5054459280140529,0.526,0.7292043337833944,0.968,0.714,Ventromedial hypothalamus (ventrolateral),Ubb
0.761,0.5363939417166411,0.522,0.7738528796774821,0.886,0.404,Ventromedial hypothalamus (ventrolateral),Fau
0.761,0.5511922697172189,0.522,0.795202354097364,0.872,0.39,Ventromedial hypothalamus (ventrolateral),Rps21
0.76,0.557325689806665,0.52,0.8040510088440961,0.883,0.395,Ventromedial hypothalamus (ventrolateral),Rpl38
0.759,0.5347359275887809,0.518,0.7714608709174938,0.816,0.332,Ventromedial hypothalamus (ventrolateral),Rpsa
0.756,0.5116144020625693,0.512,0.7381035607030411,0.754,0.279,Ventromedial hypothalamus (ventrolateral),Ndufs5
0.748,0.5032017113657024,0.496,0.725966613554138,0.724,0.248,Ventromedial hypothalamus (ventrolateral),Rpl24
0.746,0.4565788830729909,0.492,0.6587040903840262,0.992,0.903,Ventromedial hypothalamus (ventrolateral),Aldoc
0.744,0.4789337566523316,0.488,0.6909553556366406,0.902,0.47,Ventromedial hypothalamus (ventrolateral),Cox6c
0.742,0.4847246532375198,0.484,0.699309853422392,0.907,0.532,Ventromedial hypothalamus (ventrolateral),Nkain4
0.742,0.5036975178094913,0.484,0.7266819110518333,0.712,0.238,Ventromedial hypothalamus (ventrolateral),Lrrc8a
0.741,0.4767087785131623,0.482,0.6877453907091748,0.896,0.55,Ventromedial hypothalamus (ventrolateral),Ldhb
